gene,entrez,rho,p,chr,start,end,cytoband,on_19p13_3,dist_to_LONP1_Mb,rank
ORC2,4999,0.05195434105845731,0.3747365668396673,2,200908684.0,200963704.0,2q33.1,False,,5371
ZDHHC16,84287,0.05189578579161169,0.37527583968758027,10,97446141.0,97457934.0,10q24.1,False,,5372
TXNDC5,81567,0.05185092490168974,0.3756893148029753,6,7881440.0,7911011.0,6p24.3,False,,5373
LOXHD1,125336,0.05183664024989876,0.37582103271078393,18,46476971.0,46657220.0,18q21.1,False,,5374
PARP2,10038,0.05177678637834493,0.3763732500221272,14,20343541.0,20362074.0,14q11.2,False,,5375
CDKN1B,1027,0.05176769614538701,0.37645716089538417,12,12685498.0,12722373.0,12p13.1,False,,5376
NAA15,80155,0.05176545310089098,0.3764778679420898,4,139301446.0,139420033.0,4q31.1,False,,5377
SEMA4D,10507,0.05166782163782391,0.37737984679565717,9,89360781.0,89498201.0,9q22.2,False,,5378
STKLD1,169436,0.051594037279399485,0.3780623900131702,9,133376332.0,133406096.0,9q34.2,False,,5379
RORC,6097,0.051587426200884745,0.37812358278989866,1,151806021.0,151831845.0,1q21.3,False,,5380
FUT7,2529,0.05153453757276616,0.37861334346053666,9,137030174.0,137032825.0,9q34.3,False,,5381
METTL2B,55798,0.05152178763563042,0.37873146885600306,7,128476729.0,128506602.0,7q32.1,False,,5382
LARP6,55323,0.051499593300616375,0.3789371483716174,15,70829130.0,70854783.0,15q23,False,,5383
SELENOS,55829,0.051487315583374604,0.3790509579014757,15,101270329.0,101277500.0,15q26.3,False,,5384
MYOM2,9172,0.0514670101279362,0.37923922726633874,8,2036919.0,2165552.0,8p23.3,False,,5385
ANAPC1P2,285074,0.05144764911228561,0.3794187932051267,2,87031815.0,87052992.0,2p11.2,False,,5386
SMG9,56006,0.05143253807568027,0.37955897837213515,19,43727983.0,43755605.0,19q13.31,False,38.036138,5387
ENOPH1,58478,0.051418371478862857,0.3796904307412029,4,82430357.0,82462153.0,4q21.22,False,,5388
SCG3,29106,0.051413885389870684,0.37973206312971985,15,51681439.0,51721026.0,15q21.2,False,,5389
PVRIG,79037,0.05140751042130276,0.37979122974811674,7,100218241.0,100221490.0,7q22.1,False,,5390
AQP2,359,0.05138153832713743,0.38003233721046037,12,49950736.0,49958881.0,12q13.12,False,,5391
MMD,23531,0.0513579273324416,0.3802516070134512,17,55392614.0,55421986.0,17q22,False,,5392
CPVL,54504,0.05130834424358044,0.3807123252837794,7,28994636.0,29195451.0,7p14.3,False,,5393
ATG12,9140,0.0513064553640048,0.38072988319769896,5,115828182.0,115842534.0,5q22.3,False,,5394
PSMA1,5682,0.0512729277515368,0.3810416184975415,11,14504211.0,14643635.0,11p15.2,False,,5395
CRB2,286204,0.051247663987212255,0.38127662060142875,9,123356170.0,123380324.0,9q33.3,False,,5396
ERH,2079,0.05119973366797981,0.3817227088846238,14,69380123.0,69398602.0,14q24.1,False,,5397
LINGO2,158038,0.05119076148999546,0.3818062484784791,9,27937617.0,29213913.0,9p21.2,False,,5398
PAQR4,124222,0.05112701180431678,0.38240014051557736,16,2969242.0,2973484.0,16p13.3,False,,5399
CLNS1A,1207,0.05110245636983313,0.3826290491579468,11,77514936.0,77637813.0,11q14.1,False,,5400
MORN3,283385,0.05105617882022939,0.38306068096141976,12,121648742.0,121672656.0,12q24.31,False,,5401
OTOF,9381,0.0510476788621389,0.3831399925191393,2,26457203.0,26558756.0,2p23.3,False,,5402
TMOD4,29765,0.051026428966912785,0.38333831519154293,1,151169984.0,151176284.0,1q21.3,False,,5403
AMZ2,51321,0.050980977802123295,0.38376271526535133,17,68205431.0,68258828.0,17q24.2,False,,5404
CRIP2,1397,0.05097637365815766,0.3838057223971838,14,105472940.0,105480170.0,14q32.33,False,,5405
LEPROTL1,23484,0.05097637365815766,0.3838057223971838,8,30095401.0,30177208.0,8p12,False,,5406
SDS,10993,0.05097448477858202,0.38382336719774857,12,113392423.0,113426301.0,12q24.13,False,,5407
ORC4,5000,0.05096645704038538,0.3838983631110062,2,147930396.0,148021784.0,2q23.1,False,,5408
EIF4H,7458,0.050929151668766104,0.38424699059410106,7,74174127.0,74197122.0,7q11.23,False,,5409
CLEC4E,26253,0.05090683927877859,0.3844555972002618,12,8533273.0,8541079.0,12p13.31,False,,5410
OASL,8638,0.05088854075788929,0.3846267281185203,12,121017763.0,121039246.0,12q24.31,False,,5411
MFAP1,4236,0.050883346339056224,0.38467531566229185,15,43801385.0,43824741.0,15q15.3,False,,5412
RPL39L,116832,0.050844152087861194,0.3850420511425804,3,187120927.0,187180972.0,3q27.3,False,,5413
PRDX5,25824,0.05082148553295329,0.3852542361380654,11,64317977.0,64321827.0,11q13.1,False,,5414
MUC5B,727897,0.0508126314099423,0.38533714020791243,11,1223066.0,1262172.0,11p15.5,False,,5415
MVP,9961,0.050769541344622526,0.38574076149512226,16,29820394.0,29848039.0,16p11.2,False,,5416
LINC00926,283663,0.05072326379501879,0.38617452570559474,15,57300317.0,57307769.0,15q21.3,False,,5417
EMC4,51234,0.050662819648597535,0.3867415208653662,15,34224997.0,34230161.0,15q14,False,,5418
SLC9A5,6553,0.05063401423506875,0.3870119071995145,16,67237683.0,67272191.0,16q22.1,False,,5419
OPA3,80207,0.05057073676928403,0.38760627327444475,19,45527767.0,45602212.0,19q13.32,False,39.835922,5420
FGF18,8817,0.05055786877717483,0.3877272101933754,5,171419637.0,171457626.0,5q35.1,False,,5421
NUCB1,4924,0.05053473000237285,0.38794473229866433,19,48900050.0,48923958.0,19q13.33,False,43.208205,5422
SLC15A3,51296,0.05053059807830118,0.3879835833151365,11,60937060.0,60952653.0,11q12.2,False,,5423
NOM1,64434,0.05051926480084712,0.3880901582091951,7,156949706.0,156973176.0,7q36.3,False,,5424
ACCS,84680,0.05051548704169584,0.3881256871166736,11,44065916.0,44086590.0,11p11.2,False,,5425
PPIL3,53938,0.05050509820402971,0.388223401776836,2,200870907.0,200889358.0,2q33.1,False,,5426
PAQR6,79957,0.05043237634036668,0.3889078217601263,1,156243318.0,156248647.0,1q22,False,,5427
FUCA2,2519,0.05040357092683778,0.38917912509446684,6,143493954.0,143511842.0,6q24.2,False,,5428
CP,1356,0.050379487712248094,0.38940604039225724,3,149162410.0,149222049.0,3q24,False,,5429
BHMT,635,0.050345960099780096,0.3897220753876667,5,79111803.0,79132291.0,5q14.1,False,,5430
TAF11,6882,0.050313022762179416,0.39003269744880775,6,34829083.0,34889192.0,6p21.31,False,,5431
TNFSF13B,10673,0.05031148804752417,0.39004717452838045,13,108251240.0,108308484.0,13q33.3,False,,5432
KDELR2,11014,0.050299210330282396,0.3901630028646371,7,6445953.0,6484224.0,7p22.1,False,,5433
RASL11A,387496,0.050297321450706756,0.3901808244547159,13,27270786.0,27275192.0,13q12.2,False,,5434
ARL6IP5,10550,0.05029590479102497,0.3901941909703258,3,69084785.0,69106092.0,3p14.1,False,,5435
PLCXD1,55344,0.050255293880148266,0.39057748215265486,Y,276322.0,303358.0,Yp11.32,False,,5436
PPP1R27,116729,0.05017017624426989,0.39138157177246824,17,81833488.0,81835056.0,17q25.3,False,,5437
GCFC2,6936,0.05016509988041029,0.39142955875534857,2,75652000.0,75711184.0,2p12,False,,5438
REXO5,81691,0.050161794341152866,0.3914608080030625,16,20806157.0,20850126.0,16p12.3,False,,5439
ACY3,91703,0.050160849901365046,0.3914697366362405,11,67642551.0,67650900.0,11q13.2,False,,5440
CD34,947,0.0500248505719173,0.3927567433644905,1,207880972.0,207911589.0,1q32.2,False,,5441
GAS2L1P2,340508,0.049976684142737926,0.3932131693855191,9,97076246.0,97077601.0,9q22.33,False,,5442
DDX24,57062,0.04995732312708734,0.3933967247860062,14,94048287.0,94081216.0,14q32.12,False,,5443
HLA-H,3136,0.04995401758782991,0.3934280686722612,6,29887752.0,29890482.0,6p22.1,False,,5444
SCNN1D,6339,0.0499445731899516,0.39351763092424796,1,1280436.0,1292029.0,1p36.33,False,,5445
ADRA2C,152,0.04989640676077223,0.393974589455639,4,3766348.0,3768526.0,4p16.3,False,,5446
TFF3,7033,0.04988424709850392,0.3940899995812356,21,42311667.0,42315530.0,21q22.3,False,,5447
PTP4A3,11156,0.049778351787293285,0.39509593642871466,8,141391497.0,141432456.0,8q24.3,False,,5448
ATAT1,79969,0.04967682451010136,0.3960618284050138,6,30626837.0,30646835.0,6p21.33,False,,5449
TCN2,6948,0.04966124125360216,0.39621020707519605,22,30607003.0,30630712.0,22q12.2,False,,5450
ITLN2,142683,0.049649435756254245,0.39632263738560725,1,160944266.0,160954889.0,1q23.3,False,,5451
PMCH,5367,0.04964424133742118,0.3963721127920542,12,102196459.0,102197833.0,12q23.2,False,,5452
DIAPH2,1730,0.04962299144219495,0.3965745508056916,X,96684640.0,97604997.0,Xq21.33,False,,5453
SLC2A4,6517,0.04957990137687518,0.3969852406409967,17,7281664.0,7289241.0,17p13.1,False,,5454
SNX5,27131,0.04957234585857251,0.397057278302962,20,17941597.0,17969022.0,20p11.23,False,,5455
ARMH1,339541,0.0495242974843666,0.3975155763554896,1,44674692.0,44725591.0,1p34.1,False,,5456
BRD7,29117,0.04948132547402018,0.39792572337079757,16,50313487.0,50369059.0,16q12.1,False,,5457
SV2C,22987,0.04947459634053197,0.3979899726569046,5,76083224.0,76353939.0,5q13.3,False,,5458
NCF1,653361,0.04947329773582365,0.39800237235777003,7,74773975.0,74790135.0,7q11.23,False,,5459
RPLP0P2,113157,0.04947140885624801,0.39802040869973887,11,61636680.0,61637640.0,11q12.2,False,,5460
METTL25,84190,0.04944413815737436,0.3982808629869866,12,82358499.0,82479239.0,12q21.31,False,,5461
UPF3A,65110,0.04940577029099369,0.3986474758968831,13,114281442.0,114305817.0,13q34,False,,5462
NIF3L1,60491,0.04940010365226677,0.39870163893185206,2,200888992.0,200905579.0,2q33.1,False,,5463
LYG1,129530,0.04934686085922768,0.399210761037893,2,99284238.0,99306110.0,2q11.2,False,,5464
CDCA2,157313,0.04934249282520897,0.399252546638486,8,25459199.0,25508491.0,8p21.2,False,,5465
LSP1P5,645166,0.04933635396658809,0.399311276772894,2,91586931.0,91660038.0,2p11.2,False,,5466
INSM1,3642,0.04931132631221058,0.399550768528554,20,20368104.0,20370949.0,20p11.23,False,,5467
STAR,6770,0.04930388884888137,0.39962195481285934,8,38138571.0,38151102.0,8p11.23,False,,5468
DNASE1,1773,0.04929621527560524,0.3996954089333431,16,3611678.0,3680143.0,16p13.3,False,,5469
CXCR3,2833,0.04929574305571127,0.3996999294507627,X,71615912.0,71618545.0,Xq13.1,False,,5470
H2BC17,8348,0.049278270919636435,0.3998672101003383,6,27893425.0,27893891.0,6p22.1,False,,5471
PDZK1,5174,0.04923010449045706,0.4003285789866273,1,145670848.0,145721615.0,1q21.1,False,,5472
NDUFB2-AS1,100134713,0.04920743793554905,0.40054580384711547,7,140695336.0,140697103.0,7q34,False,,5473
SGSM2,9905,0.04915832706658185,0.40101669936219664,17,2337488.0,2381058.0,17p13.3,False,,5474
LINC01550,388011,0.04911193146200454,0.40146186347643087,14,97924637.0,97987918.0,14q32.2,False,,5475
UMODL1,89766,0.04909457738090317,0.4016284510491468,21,42062959.0,42143453.0,21q22.3,False,,5476
SPIRE1,56907,0.049081237168900116,0.40175653621514074,18,12446512.0,12658129.0,18p11.21,False,,5477
ACSF2,80221,0.04905821644907171,0.4019776254782267,17,50426158.0,50474845.0,17q21.33,False,,5478
TMEM151A,256472,0.049048890106166865,0.4020672156381102,11,66291832.0,66299036.0,11q13.2,False,,5479
DCAF11,80344,0.0490176055381949,0.40236782660309833,14,24114010.0,24125615.0,14q12,False,,5480
PRF1,5551,0.049008161140316586,0.40245860342418893,10,70596401.0,70602788.0,10q22.1,False,,5481
MAU2,23383,0.048985494585408684,0.40267651763014445,19,19320811.0,19358754.0,19p13.11,False,13.628966,5482
SLIT1,6585,0.04890828663275337,0.4034193157508781,10,96998038.0,97186121.0,10q24.1,False,,5483
DYNLL2,140735,0.048867911831823596,0.40380807634721083,17,58082825.0,58095542.0,17q22,False,,5484
HEXIM1,10614,0.04883721753871906,0.4041037745746572,17,45148475.0,45152099.0,17q21.31,False,,5485
CRB1,23418,0.048823877326716,0.40423232975385115,1,197268195.0,197478455.0,1q31.3,False,,5486
RILPL1,353116,0.048762134575586424,0.40482764109922187,12,123467802.0,123534417.0,12q24.31,False,,5487
EXOC6,54536,0.048759301256222964,0.4048549719118031,10,92826831.0,93059493.0,10q23.33,False,,5488
ADAP1,11033,0.04870830150768002,0.4053471142092926,7,896338.0,955407.0,7p22.3,False,,5489
KRABD3,84626,0.04867099613606074,0.4057073323258975,7,149714781.0,149734934.0,7q36.1,False,,5490
GLRX3,10539,0.04865021846072848,0.405908042596838,10,130136363.0,130184521.0,10q26.3,False,,5491
DDX11,1663,0.04861102420953345,0.4062868157259327,12,31073282.0,31104811.0,12p11.21,False,,5492
DACH1,1602,0.04859307985356465,0.4064602999597524,13,71437920.0,71867364.0,13q21.33,False,,5493
PIGF,5281,0.04857277439812624,0.40665666410553325,2,46580937.0,46617067.0,2p21,False,,5494
WASF1,8936,0.04855105228300616,0.406866790410654,6,110099581.0,110180032.0,6q21,False,,5495
ZNF295-AS1,150142,0.04854621202909348,0.4069136208108388,21,42009078.0,42055131.0,21q22.3,False,,5496
HYLS1,219844,0.04851421913128062,0.4072232387771243,11,125883614.0,125900846.0,11q24.2,False,,5497
MTIF2,4528,0.048490135916690935,0.40745640130689276,2,55236218.0,55270263.0,2p16.1,False,,5498
CTNND2,1501,0.048476323484793915,0.40759016259704506,5,10971836.0,11904507.0,5p15.2,False,,5499
POLE3,54107,0.048461802723056,0.4077308115146737,9,113407232.0,113410723.0,9q32,False,,5500
DOK7,285489,0.048449997225708086,0.40784518143407555,4,3463190.0,3501540.0,4p16.3,False,,5501
TMEM121,80757,0.04843689312365196,0.4079721543145385,14,105525996.0,105530205.0,14q32.33,False,,5502
GUCY1B2,2974,0.04842355291164879,0.4081014390605837,13,51006991.0,51062894.0,13q14.3,False,,5503
FBXL19-AS1,283932,0.048407969655149596,0.40825249269486674,16,30919319.0,30923279.0,16p11.2,False,,5504
LCK,3932,0.04836263654533368,0.4086921097902485,1,32251244.0,32286170.0,1p35.2,False,,5505
S100A6,6277,0.0483121090166847,0.4091824299375829,1,153532726.0,153536549.0,1q21.3,False,,5506
DAP3,7818,0.04829133134135244,0.40938415790720917,1,155687833.0,155740132.0,1q22,False,,5507
FAM30A,9834,0.048221206687105944,0.4100654241958135,14,105879976.0,105932642.0,14q32.33,False,,5508
AS3MT,57412,0.04821483171853802,0.41012739072069326,10,102869296.0,102901911.0,10q24.32,False,,5509
ZNF252P,286101,0.04819358182331179,0.41033398578891767,8,144976190.0,144999723.0,8q24.3,False,,5510
MAPDA,161823,0.048167609729146466,0.41058657440208146,15,43329654.0,43355418.0,15q15.3,False,,5511
WNT6,7475,0.04813313767689065,0.41092197026264454,2,218859795.0,218874233.0,2q35,False,,5512
TOP2B,7155,0.048032082619592686,0.41190611777539055,3,25597978.0,25664973.0,3p24.2,False,,5513
ZDHHC11,79844,0.048004693865745574,0.41217308871476543,5,795605.0,858973.0,5p15.33,False,,5514
DSEL,92126,0.04796219407529312,0.412587555990895,18,67506587.0,67516790.0,18q22.1,False,,5515
MT2A,4502,0.04795747187635391,0.41263362307489504,16,56608130.0,56609503.0,16q13,False,,5516
LMNTD2,256329,0.04794991635805124,0.4127073367169024,11,554850.0,560743.0,11p15.5,False,,5517
BTN1A1,696,0.047887111112160485,0.41332038178843966,6,26500303.0,26510425.0,6p22.2,False,,5518
HSF2,3298,0.04786586121693426,0.41352792445739317,6,122399533.0,122433219.0,6q22.31,False,,5519
C1QTNF9B,387911,0.047842250222238536,0.413758599398383,13,23891098.0,23897502.0,13q12.12,False,,5520
ZBTB32,27033,0.04779479212289994,0.4142224851686914,19,35704558.0,35717048.0,19q13.12,False,30.012713,5521
MMP23B,8510,0.04779219491348341,0.4142478807827027,1,1631660.0,1635263.0,1p36.33,False,,5522
PDLIM3,27295,0.047776021382116785,0.414406046815475,4,185499258.0,185535669.0,4q35.1,False,,5523
P2RY8,286530,0.0477648061596363,0.41451574485141696,Y,1462572.0,1537207.0,Yp11.2,False,,5524
ABCG5,64240,0.04776102840048502,0.41455269961491414,2,43806213.0,43838865.0,2p21,False,,5525
VARS2,57176,0.04775111178271274,0.41464971509013104,6,30914205.0,30928614.0,6p21.33,False,,5526
ZNF85,7639,0.047702945353533366,0.4151211230473101,19,20923222.0,20954499.0,19p12,False,15.231377,5527
ZAP70,7535,0.04767791769915575,0.4153661946618744,2,97713190.0,97744327.0,2q11.2,False,,5528
FAM201A,158228,0.047638251228066864,0.41575478418954237,9,38620474.0,38624990.0,9p13.1,False,,5529
INSIG1,3638,0.04763152209457855,0.41582072680931637,7,155296731.0,155311963.0,7q36.3,False,,5530
TMEM272,283521,0.047617001332840636,0.41596304497361747,13,51813347.0,51845272.0,13q14.3,False,,5531
ZNF330,27309,0.047601890296235294,0.41611117880176063,4,141220280.0,141234697.0,4q31.21,False,,5532
CRACR2B,283229,0.0475995291967658,0.4161343275104734,11,826137.0,831993.0,11p15.5,False,,5533
PGAM1,5223,0.04758677925963006,0.41625934360418326,10,97426105.0,97433444.0,10q24.1,False,,5534
NUDT16,131870,0.04752964065246623,0.416819871697675,3,131381671.0,131388830.0,3q22.1,False,,5535
TCEAL6,158931,0.04752586289331495,0.41685694700826614,X,102140476.0,102142970.0,Xq22.1,False,,5536
DRC8,84288,0.04752208513416356,0.4168940242536966,1,244969671.0,245127164.0,1q44,False,,5537
MAK,4117,0.04751807126506524,0.4169334209468908,6,10762723.0,10838553.0,6p24.2,False,,5538
VPS33A,65082,0.04748289088296853,0.4172788148313553,12,122229564.0,122266502.0,12q24.31,False,,5539
ZNF341,84905,0.0474257522758047,0.41784014757291044,20,33731657.0,33792269.0,20q11.22,False,,5540
SYTL3,94120,0.047423391176335206,0.41786335265796204,6,158644387.0,158768361.0,6q25.3,False,,5541
GOLM1,51280,0.047413002338669075,0.4179654640039666,9,86014137.0,86100286.0,9q21.33,False,,5542
KIAA1210,57481,0.047404856545498975,0.41804553880798,X,119078635.0,119150579.0,Xq24,False,,5543
TUBB1,81027,0.04739600242248809,0.418132586832458,20,59019379.0,59026654.0,20q13.32,False,,5544
LSR,51599,0.04738561358482196,0.41823473671945843,19,35248330.0,35267967.0,19q13.12,False,29.556485,5545
ZRSR2,8233,0.047338391595430296,0.4186992385926722,X,15790106.0,15830694.0,Xp22.2,False,,5546
CYP2D7,1564,0.04733319717659723,0.41875035223146406,22,42140203.0,42149500.0,22q13.2,False,,5547
TLCD3B,83723,0.04733319717659723,0.41875035223146406,16,30024425.0,30052978.0,16p11.2,False,,5548
LTAP1,25912,0.04732469721850674,0.4188340006104405,1,154206666.0,154220686.0,1q21.3,False,,5549
SLC19A3,80704,0.047319856964594176,0.41888163808563506,2,227683763.0,227718088.0,2q36.3,False,,5550
ABCC6,368,0.04729589180497795,0.41911754840346016,16,16149565.0,16223637.0,16p13.11,False,,5551
DDO,8528,0.04729482931021656,0.4191280092811771,6,110388321.0,110415862.0,6q21,False,,5552
EXD1,161829,0.047281252988266464,0.41926168950054543,15,41182725.0,41230757.0,15q15.1,False,,5553
CRIP3,401262,0.047264253072085594,0.41942911555467766,6,43299710.0,43308878.0,6p21.1,False,,5554
KCNK5,8645,0.0472425309569654,0.4196431057515638,6,39183923.0,39229559.0,6p21.2,False,,5555
SUMO1P1,391257,0.04719082287858167,0.4201527522790589,20,53875252.0,53875557.0,20q13.2,False,,5556
IL13,3596,0.04715812165092792,0.4204752496349934,5,132656263.0,132661110.0,5q31.1,False,,5557
KIF3B,9371,0.047158003595954456,0.4204764141473034,20,32277627.0,32335011.0,20q11.21,False,,5558
HLA-DRA,3122,0.047154225836803176,0.42051367953648466,6,32439870.0,32445181.0,6p21.32,False,,5559
KLHL29,114818,0.04714525365881872,0.42060219256862774,2,23385171.0,23708611.0,2p24.1,False,,5560
PRSS8,5652,0.047081976193034,0.42122675135625165,16,31131433.0,31135727.0,16p11.2,False,,5561
MFAP2,4237,0.04703133060941156,0.42172702125224626,1,16972933.0,16981616.0,1p36.13,False,,5562
FAM107A,11170,0.04702436536597632,0.4217958500426947,3,58564114.0,58627651.0,3p14.3,False,,5563
ZC2HC1C,79696,0.047015865407885826,0.4218798533760597,14,75064109.0,75119502.0,14q24.3,False,,5564
MZF1-AS1,100131691,0.047012087648734546,0.4219171913229828,19,58558591.0,58605223.0,19q13.43,False,52.866746,5565
GFM2,84340,0.04697938642108079,0.42224047847138235,5,74721206.0,74767155.0,5q13.3,False,,5566
PRSS33,260429,0.046918588109739146,0.4228419195351163,16,2783926.0,2787948.0,16p13.3,False,,5567
ADAP2,55803,0.0469143381306939,0.4228839806740513,17,30906344.0,30959945.0,17q11.2,False,,5568
NFAM1,150372,0.04688317161769551,0.4231925034997289,22,42380407.0,42432425.0,22q13.2,False,,5569
CYP2J2,1573,0.0468472829057579,0.4235479345449029,1,59893291.0,59926828.0,1p32.1,False,,5570
RNF148,378925,0.04680395673049109,0.4239772554483885,7,122701668.0,122702922.0,7q31.32,False,,5571
SPDYE3,441272,0.046769838843155664,0.42431550916983907,7,100307702.0,100322372.0,7q22.1,False,,5572
CPNE6,9362,0.0467697207881822,0.4243166798703556,14,24070837.0,24078100.0,14q11.2,False,,5573
GIMAP1,170575,0.046732533471536386,0.4246855440281381,7,150716606.0,150724284.0,7q36.1,False,,5574
BST1,683,0.046721200194082324,0.424797996824992,4,15702993.0,15775614.0,4p15.32,False,,5575
ADGRA3,166647,0.04669475588002314,0.42506045398632797,4,22345071.0,22516131.0,4p15.2,False,,5576
NFATC4,4776,0.046663117147130784,0.4253745890129865,14,24365673.0,24379613.0,14q12,False,,5577
LINC00471,151477,0.046639033932540985,0.42561379709070646,2,231465513.0,231515851.0,2q37.1,False,,5578
SPDYE8,728524,0.0466149507179513,0.4258530832690268,7,73019719.0,73029766.0,7q11.23,False,,5579
KIRREL3,84623,0.04655793016576104,0.42641993976173476,11,126423358.0,127003460.0,11q24.2,False,,5580
MARS2,92935,0.04652192339884986,0.4267781180083168,2,197705369.0,197708395.0,2q33.1,False,,5581
PMVK,10654,0.04651968035435383,0.42680043652310684,1,154924732.0,154937008.0,1q21.3,False,,5582
MYBPH,4608,0.046483083312575335,0.4271646763136425,1,203167811.0,203175880.0,1q32.1,False,,5583
SNAI1,6615,0.04645156263465644,0.4274785369021953,20,49982979.0,49988886.0,20q13.13,False,,5584
PHAX,51808,0.046448257095399015,0.4275114588608908,5,126600925.0,126627252.0,5q23.2,False,,5585
HPRT1,3251,0.04644400711635377,0.42755378925211207,X,134460139.0,134527168.0,Xq26.2,False,,5586
ITGB1BP1,9270,0.04644211823677813,0.4275726035388008,2,9402707.0,9423891.0,2p25.1,False,,5587
LRRC66,339977,0.04633822986011671,0.4286081277990289,4,51993614.0,52020370.0,4q12,False,,5588
PCDHA5,56143,0.04633114656170789,0.4286787845339747,5,140821599.0,141012347.0,5q31.3,False,,5589
NSFL1C,55968,0.04623009150440993,0.42968755435373274,20,1442162.0,1473842.0,20p13,False,,5590
PLXND1,23129,0.046191251418135404,0.4300756354683438,3,129555213.0,129606826.0,3q22.1,False,,5591
TRPV6,55503,0.0461600849051369,0.43038719039071693,7,142871208.0,142885781.0,7q34,False,,5592
PRDM16-DT,440556,0.04612466841309326,0.43074138822260455,1,3059564.0,3070251.0,1p36.32,False,,5593
CNOT3,4849,0.04610164769326486,0.430971707010507,19,54137710.0,54155708.0,19q13.42,False,48.445865,5594
MLLT6,4302,0.04608700887655348,0.43111820309250437,17,38705244.0,38729799.0,17q12,False,,5595
SCARNA7,677767,0.0460700089603725,0.43128836362403056,3,160514907.0,160515236.0,3q25.33,False,,5596
SNX3,8724,0.046017120332253914,0.43181799962667433,6,108210873.0,108261255.0,6q21,False,,5597
HES7,84667,0.046005905109773426,0.43193035899628274,17,8120592.0,8124114.0,17p13.1,False,,5598
PARL,55486,0.045942509589015246,0.43256580187813076,3,183826489.0,183884933.0,3q27.1,False,,5599
HSP90B1,7184,0.04591653749484981,0.43282628768965636,12,103930107.0,103955906.0,12q23.3,False,,5600
ALDH3A2,224,0.045912405570778136,0.4328677369397108,17,19647291.0,19685881.0,17p11.2,False,,5601
ENTPD8,377841,0.04591181529591071,0.43287365844769876,9,137434362.0,137441881.0,9q34.3,False,,5602
NEUROG2,63973,0.045899537578668936,0.4329968363868997,4,112513516.0,112516180.0,4q25,False,,5603
SUV39H2,79723,0.04587781546354874,0.43321481600788503,10,14878323.0,14906331.0,10p13,False,,5604
MED8,112950,0.045856565568322516,0.4334281180364449,1,43383906.0,43389823.0,1p34.2,False,,5605
DNTTIP2,30836,0.04581973241659709,0.4337979846567823,1,93866284.0,93879918.0,1p22.1,False,,5606
MGST2,4258,0.04579139922296216,0.4340826209156632,4,139665768.0,139754842.0,4q31.1,False,,5607
RBM15,64783,0.04575881605028198,0.4344100853106927,1,110338506.0,110346681.0,1p13.3,False,,5608
GUCA1A,2978,0.0457499619272711,0.43449909472426307,6,42173364.0,42181338.0,6p21.1,False,,5609
LINC00589,619351,0.04572245511845041,0.43477568414243184,8,29654314.0,29770539.0,8p12,False,,5610
OSER1,51526,0.045699316343648544,0.4350084299370601,20,44195939.0,44219957.0,20q13.12,False,,5611
VPS29,51699,0.04568149004265332,0.4351877879809882,12,110469903.0,110502132.0,12q24.11,False,,5612
CLDND2,125875,0.04567287202958925,0.4352745127211243,19,51367098.0,51369003.0,19q13.41,False,45.675253,5613
ADAMTS9,56999,0.045671455369907576,0.43528876979222475,3,64515652.0,64688264.0,3p14.1,False,,5614
ATP6V0A1,535,0.045646899935423924,0.43553593494882825,17,42458823.0,42522582.0,17q21.2,False,,5615
ZYX,7791,0.04564548327574214,0.4355501969340583,7,143381076.0,143391111.0,7q34,False,,5616
ZNF738,148203,0.04557181697229129,0.43629218940570214,19,21358927.0,21388582.0,19p12,False,15.667082,5617
WIPF3,644150,0.04555009485717121,0.43651112034210837,7,29806447.0,29917061.0,7p14.3,False,,5618
FGGY,55277,0.04553356716088419,0.43667774040544727,1,59295910.0,59810647.0,1p32.1,False,,5619
C2,717,0.04552034500385449,0.4368110626955737,6,31897785.0,31945677.0,6p21.33,False,,5620
POC1B,282809,0.04550051176831005,0.4370110898567927,12,89357869.0,89526201.0,12q21.33,False,,5621
SIX3,6496,0.04549484512958302,0.437068250110776,2,44941696.0,44946071.0,2p21,False,,5622
RPL26L1-AS1,100268168,0.04544561620564236,0.4375650100013472,5,172954666.0,172960081.0,5q35.1,False,,5623
BMP6,654,0.04544526204072186,0.43756858498416573,6,7726049.0,7881730.0,6p24.3,False,,5624
FNDC11,79025,0.045430151004116626,0.4377211331601214,20,63547891.0,63558138.0,20q13.33,False,,5625
SLC3A1,6519,0.045423894090522166,0.4377843065497077,2,44275458.0,44322674.0,2p21,False,,5626
GCNT2,2651,0.045381512355043285,0.43821235422604876,6,10492223.0,10629377.0,6p24.3,False,,5627
NCF1C,654817,0.04535081806193875,0.43852251032523926,7,75156639.0,75172044.0,7q11.23,False,,5628
FAM227B,196951,0.04534881112738953,0.43854279413361885,15,49326962.0,49620956.0,15q21.2,False,,5629
MILR1,284021,0.04532579040756124,0.4387754997146167,17,64449037.0,64492770.0,17q23.3,False,,5630
SMCO2,341346,0.045321894593436385,0.4388148876414558,12,27446736.0,27502873.0,12p11.23,False,,5631
FAM171A1,221061,0.04531492935000114,0.4388853135171019,10,15211324.0,15371309.0,10p13,False,,5632
GTPBP4,23560,0.04531209603063757,0.43891396317927533,10,988409.0,1020001.0,10p15.3,False,,5633
BATF,10538,0.045247874125065035,0.4395636421653162,14,75522455.0,75546993.0,14q24.3,False,,5634
